input,output,instruction
ข้อใดคือประโยชน์ของแผนผังของโรงเรียน,ทำให้รู้ตำแหน่งของสถานที่ภายในโรงเรียน,ถามตอบ
การค้นคว้าเกี่ยวกับประวัติของโรงเรียนข้อใดควรทำเป็นอันดับแรก,ตั้งคำถาม,ถามตอบ
เรามีบทบาทหน้าที่ในฐานะของนักเรียนอย่างไร,ปฎิบัติตามกฎระเบียนของโรงเรียน,ถามตอบ
เมื่อเก็บรวบรวมข้อมูลได้แล้วควรทำอย่างไรต่อไป,ตรวจสอบข้อมูล,ถามตอบ
เมื่อนักเรียนหยุดเรียนจะต้องทำอย่างไร,เขียนใบลาหยุดให้ครู,ถามตอบ
เราใช้หลักการประชาธิปไตยในโรงเรียนเพื่ออะไร,ลดความขัดแย้ง,ถามตอบ
ข้อใดคือวัฒนธรรมที่แสดงถึงเอกลักษณ์ของโรงเรียน,เครื่องแบบนักเรียน,ถามตอบ
วัฒนธรรมในโรงเรียนเป็นสิ่งที่แสดงถืองอะไร,เอกลักษณ์ของโรงเรียน,ถามตอบ
ฝ่ายบริหารมีหน้าที่รับผิดชอบงานใด,งานประชาสัมพันธ์,ถามตอบ
ฝ่ายวิชาการมีหน้าที่รับผิดชอบงานใด,งานแนะแนว,ถามตอบ
เมื่อนักเรียนใช้ห้องเรียนเสร็จแล้วควรทำอย่างไร,รักษาความสะอาด,ถามตอบ
ถ้าครูครบเกษียณอายุราชการจะทำให้โรงเรียนเป็นอย่างไร,จำนวนครูลดลง,ถามตอบ
ถ้านักเรียนปวดศีรษะขณะอยู่ในโรงเรียนควรทำอย่างไร,ไปห้องพยาบาล,ถามตอบ
ข้อใดแสดงถึงเอกลักษณ์ของโรงเรียน,เพลงประจำโรงเรียน,ถามตอบ
สถานที่ใดเป็นที่ประกอบพิธีกรรมทางพระพุทธศาสนา,วัด,ถามตอบ
ข้อใดคือลักษณะความเป็นอยู่ของชุมชนในชนบท,แบบพึ่งพาอาศัยกัน,ถามตอบ
สถานที่ใดเป็นที่ประกอบพิธีกรรมทางศาสนาอิสลาม,มัสยิด,ถามตอบ
ใครมีหน้าที่ดูแลรักษาความสงบเรียบร้อยภายในหมู่บ้าน,ผู้ใหญ่บ้าน,ถามตอบ
ชุมชนที่ตั้งอยู่บริเวณที่เป็นแหล่งท่องเที่ยวผู้คนในชุมชนมักจะประกอบอาชีพใด,ขายของที่ระลึก,ถามตอบ
ใครเป็นผู้ปกครองดูแลคนในตำบล,กำนัน,ถามตอบ
เมื่ออายุครบ15ปีเราจะไปทำบัตรประจำตัวประชาชนได้จากที่ใด,ที่ว่าการอำเภอ,ถามตอบ
อาชีพใดที่ได้รับการยกย่องว่าเป็นกระดูกสันหลังของชาติ,ชาวนา,ถามตอบ
เพราะเหตุใดชุมชนจำเป็นต้องมีผู้ปกครองคอยดูแล,เพื่อให้คนในชุมชนอยู่กันอย่างมีความสุข,ถามตอบ
ข้อใดไม่ใช่อาชีพบริการ,ชาวสวน,ถามตอบ
ผู้ที่นำผลผลิตหรือบริการมาแลกกับเงินเรียกว่าอะไร,ผู้ขาย,ถามตอบ
อาชีพที่จำหน่ายหรือแลกเปลี่ยนสินค้าคืออาชีพใด,พ่อค้าแม่ค้า,ถามตอบ
สื่อกลางที่ใช้ในการแลกเปลี่ยนสินค้าและบริการในปัจจุบันคือข้อใด,เงินตรา,ถามตอบ
อาชีพใดถือว่าเป็นรั้วของชาติ,ทหาร,ถามตอบ
ภาษาประจำชาติของคนไทยคือข้อใด,ภาษาไทย,ถามตอบ
เราจะช่วยกันอนุรักษ์ภาษาไทยได้อย่างไร,พูดให้ชัดเจนอ่านและเขียนให้ถูกต้อง,ถามตอบ
ข้อใดคือลัญลักษณ์ที่แสดงถึงความเป็นชาติไทย,ธงชาติ,ถามตอบ
เงินที่เรานำไปซื้อเสื้อผ้าเรียกว่าอะไร,รายจ่าย,ถามตอบ
รายได้ของข้าราชการครูมาจากข้อใด,เงินเดือน,ถามตอบ
ถ้าเรามีรายจ่ายมากกว่ารายรับจะเป็นอย่างไร,เป็นหนี้,ถามตอบ
เงินที่ได้จากการขายของเรียกว่าอะไร,รายได้,ถามตอบ
เมื่อเราไปตัดผมใครเป็นผู้ให้บริการ,ช่างตัดผม,ถามตอบ
ผลดีของเศรษฐกิจพอเพียงคือข้อใด,ทำให้พึ่งพาตนเองได้,ถามตอบ
ช่วงเวลาที่กำลังดำเนินอยู่ในขณะนี้ขณะนี้เรียกว่า,ปัจจุบัน,ถามตอบ
คำในข้อใดหมายถึงอดีต,วานซืนนี้,ถามตอบ
การที่นักเรียนสืบค้นประวัติของชุมชนที่ตนอาศัยอยู่ทำให้เกิดผลดีอย่างไร,รู้ประวัติความเป็นมาของชุมชน,ถามตอบ
การนำข้อมูลทั้งหมดที่รวบรวมได้มาเปรียบเทียบกันจัดเป็นขั้นตอนใดของวิธีการทางประวัติศาสตร์,ตรวจสอบ,ถามตอบ
การสืบค้นข้อมูลที่พิพิธภัณฑ์ท้องถิ่นช่วยให้ทราบข้อมูลของชุมชนด้านใด,วิถีชีวิตของคนในชุมชน,ถามตอบ
ทำใมจึงต้องตรวจสอบและตีความข้อมูลของชุมชนก่อนนำเสนอ,ได้ข้อมูลที่น่าเชื่อถือ,ถามตอบ
ถ้าต้องการค้นหาเว็บไซต์ข้อมูลด้านต่างๆของชุมชนค้นได้จากแหล่งใด,คอมพิวเตอร์,ถามตอบ
ผู้ใหญ่ในชุมชนจัดเป็นแหล่งข้อมูลในลักษณะใด,บุคคล,ถามตอบ
วิธีใดไม่ควรนำเสนอข้อมูลของชุมชน,ร้องเป็นเพลง,ถามตอบ
ใครน่าจะรู้ประวัติของชุมชนได้ดีที่สุด,ผู้อาศัยอยู่ในชุมชนมานาน,ถามตอบ
ถ้าในชุมชนของเราทั้งวัดโบสถ์มัสยิดและศาลเจ้าสามารถบอกได้ว่าอย่างไร,ชุมชนนี้มีคนหลายเชื้อชาติ,ถามตอบ
เพราะเหตุใดเราจึงต้องเรียนรู้เกี่ยวกับรัฐธรรมนูญ,เพราะเป็นฎหมายที่ใช้ปกครองประเทศของเรา,ถามตอบ
สิ่งที่รัฐธรรมนูญกำหนดให้พลเมืองทุกคนต้องปฏิบัติเรียกว่าอะไร,หน้าที่,ถามตอบ
การปฏิบัติตนอย่างไรทำให้เกิดความสัมพันธ์ที่ดีในครอบครัว,เอื้ออาทรซึ่งกันและกัน,ถามตอบ
เมื่อเกิดความขัดแงกันในห้องเรียนควรแก้ปัญหาอย่างไร,พูดคุยกันด้วยเหตุผล,ถามตอบ
ข้อใดเป็นวัฒนธรรมการแต่งกายในการไปร่วมประเพณีทางศาสนา,แต่งกายสุภาพเรียบร้อย,ถามตอบ
ประเพณีใดช่วยส่งเสริมให้ลูกหลานแสดงความกตัญณูแก่ญาติผู้ใหญ่,ประเพณีวันสงกรานต์,ถามตอบ
ศาสนาใดที่มีวัฒนธรรมเกี่ยวกับการแต่งกายตามหลักการของศาสนาที่เป็นเอกลักาณ์,ศาสนาอิสลาม,ถามตอบ
เพราะเหตุใดในท้องถิ่นต่างๆของไทยจึงมีวัฒนธรรมประเพณีเกี่ยวกับการเพาะปลูก,เป็นอาชีพหลักของคนไทย,ถามตอบ
ภาษาใดถูกกำหนดให้เป็นภาษาทางราชการ,ภาษาไทย,ถามตอบ
สถานทูตไทยประจำต่างประเทศใช้สัญลักษณ์ใดแสดงความเป็นไทย,ธงชาติไทย,ถามตอบ
เพราะเหตุใดคนที่อาศัยอยู่บริเวณริมฝั่งแม่น้ำจึงนิยมสร้างบ้านเรือนแพ,ปรับระดับขึ้นลงตามระดับน้ำในแม่น้ำได้จึงไม่ถูกน้ำท่วม,ถามตอบ
เงินที่เหลือจากการใช้จ่ายแล้วนำไปฝากธนาคารเอาไว้เรียกว่าเงินอะไร,เงินออม,ถามตอบ
ผู้ที่มาซื้อสินค้าหรือบริการต่างๆเรียกว่าอะไร,ผู้บริโภค,ถามตอบ
การใช้จ่ายอย่างประหยัดก่อให้เกิดผลดีอย่างไร,ไม่เป็นหนี้สิน,ถามตอบ
เงินสมทบที่ธนาคารจ่ายให้แก่ผู้นำเงินออมมาฝากไว้กับธนาคารเรียกว่าอะไร,ดอกเบี้ย,ถามตอบ
ศาสนาใดไม่ได้ถือกำเนิดขึ้นในประเทศอินเดีย,ศาสนาพราหมณ์,ถามตอบ
ศาสนาใดเก่าแก่ที่สุด,ศาสนาพราหมณ์,ถามตอบ
ประเพณีใดเกี่ยวข้องกับการขัดเกลาจิตใจของชาวพุทธที่เป็นชาย,ประเพณีการบวช,ถามตอบ
ผู้นำทางความเชื่อของศาสนาพราหมณ์คือวรรณะใด,พราหมณ์,ถามตอบ
ศาสนาใดมีจุดมุ่งหมายให้ผู้ที่นับถือศาสนาอิสลามและสาสนาอื่นสามัคคีกัน,ศาสนาสิกข์,ถามตอบ
พระเจ้าของศาสนาอิสลามคือพระเจ้าองค์ใด,พระอัลเลาะห์,ถามตอบ
บุคคลในข้อใดไม่ได้เป็นศาสนาของศาสนา,โจเซพ,ถามตอบ
ใครไม่ได้ประกอบอาชีพบริการ,อ๊อดทำสวนผลไม้,ถามตอบ
เงินที่เหลือจากการใช้จ่ายและนำไปฝากธนาคารเอาไว้เรียกว่าเงินอะไร,เงินออม,ถามตอบ
เศรษฐกิจพอเพียงเป็นพระราชดำริของพระมหากฆัตร์องค์ใด,ราชกาลที่9,ถามตอบ
ผู้ที่มาซื้อสินค้าหรือบริการต่างๆเรียกว่าอะไร,ผู้บริโภค,ถามตอบ
ใครปฎิบัติตนตามเศรษฐกิจพอเพียงมาใช้ในชีวิตประจำวัน,ปลาปลูกสวนผักไว้กินเอง,ถามตอบ
ผู้บริโภคที่ฉลาดควรปฏิบัติตามข้อใด,เปรียบเทียบคุณภาพและราคาหลายๆยี่ห้อก่อนซื้อ,ถามตอบ
การเปิดโรงเรียนฝึกสอนสุนัขจะได้รายได้จากข้อใด,การให้บริการ,ถามตอบ
หลักธรรมใดช่วยให้เกิดความเป็นระเบียบของคนหมู่มาก,ความมีวินัย,ถามตอบ
ใครมีความกตัญญูกตเวทีต่อพ่อแม่,จุตพรช่าวทำงานบ้าน,ถามตอบ
เมื่อบ้านของเพื่อนถูกน้ำท่วมนักเรียนทำอย่างไรจึงเหมาะสมที่สุด,แบ่งปันสิ่งของให้เพื่อนใช้,ถามตอบ
ทำไมเราจึงต้องทำความดี,เพราะเป็นสิ่งที่ควรทำ,ถามตอบ
ลักษณะภูมิประเทศแบบใดเหมาะกับการเพราะปลูกมากที่สุด,ที่ราบลุ่มแม่น้ำ,ถามตอบ
ถ้าต้องการแสดงรายละเอียดของสิ่งของในห้องเรียนควรจำกัดสิ่งใด,แผนผัง,ถามตอบ
ทรัพยากรในข้อใดที่คนเราต้องใช้อย่างประหยัดและคุ้มค่าทึ่สุด,น้ำมันเชื้อเพลิง,ถามตอบ
ทรัพยากรในข้อใดจัดเป็นทรัพยากรที่สิ้นเปลือง,ถ่านหิน,ถามตอบ
สิ่งใดเป็นสิ่งแวดล้อมทางสังคมที่มีคุณค่าต่อจิตใจของคนในชุมชน,วัดโบสถ์หรือมัสยิด,ถามตอบ
สิ่งใดที่ไม่ใช้สิ่งแวดล้อมทางธรรมชาติ,ถนน,ถามตอบ
การกระทำใดที่มีผลเสียต่อสิ่งแวดล้อมทางธรรมชาติ,สนับสนุนการจับสัตว์ป่ามาเลี้ยง,ถามตอบ
เมื่อเราไปเที่ยวป่าไม่ควรทำสิ่งใด,ทิ้งขยะไว้ตามบริเวณต่างๆเพื่อให้สัตว์มากิน,ถามตอบ
ถ้ามีจำนวนสมาชิกในบ้านเพิ่มมากขึ้นเกินไปจะให้เกิดผลอย่างไร ,ทำให้แย่งกันใช้สถานที่ต่างๆในบ้าน,ถามตอบ
สิ่งแวดล้อมทางสังคมในข้อใดมีคุณค่าต่อการศึกษา,โบราณวัตถุ,ถามตอบ
เราสามารถดูแลรักษาสิ่งแวดล้อมทางสังคมในโรงเรียนได้ตามข้อใด,ช่วยเก็บขยะที่พบเห็นบริเวณโรงเรียน,ถามตอบ
ถ้าต้องการสืบค้น ข้อมูลเกี่ยวกับวิถีชีวิตของคนในชุมชน ควรไปที่ไหน  ,อินเทอร์เน็ต ,ถามตอบ
ถ้าครอบครัวมีรายได้มากกว่ารายจ่ายผลจะเป็นอย่างไร ,ไม่มีเงินสำหรับใช้จ่ายในยามจำเป็น ,ถามตอบ
ผู้ที่มีรายได้ตามกำหนดต้องเสียภาษีใดให้แก่รัฐ ,ภาษีเงินได้ ,ถามตอบ
เมื่อกู้เงินจากธนาคารผู้กู้จะต้องส่งเงินต้นให้กับธนาคารพร้อมกับอะไร ,ดอกเบี้ย,ถามตอบ
ผู้ที่มีรายได้ตามกำหนดต้องเสียภาษีได้ให้แก่รัฐ ,ภาษีเงินได้ ,ถามตอบ
เมื่อเข้าไปในสถานที่สำคัญทางศาสนาไม่ควรปฏิบัติอย่างไร ,หยิบจับสิ่งของต่างๆมาเล่น ,ถามตอบ
การปฏิบัติตนตามวัฒนธรรมประเพณีมีคุณค่าต่อตัวเราอย่างไร ,ช่วยให้เราเข้ากับสังคมได้ดี ,ถามตอบ
ถ้าแหล่งน้ำในชุมชนเน่าเสียจะเกิดผลกระทบในข้อใดมากที่สุด ,ส่งกลิ่นเหม็น ,ถามตอบ
ถ้าต้องการศึกษาลักษณะภูมิประเทศของประเทศไทยควรศึกษาจากแผนที่ชนิดใด ,แผนที่เศรษฐกิจ ,ถามตอบ
การศึกษาประวัติความเป็นมาของชุมชนสิ่งใดสำคัญที่สุด ,ข้อสันนิษฐาน ,ถามตอบ
ผู้ที่มีอาชีพค้าขายในประเทศไทยส่วนใหญ่เป็นคน เชื้อสายได้ ,จีน ,ถามตอบ
ความนิยมในต่างประเทศการจัดตั้งโรงงานอุตสาหกรรมควรคำนึงถึงเรื่องใดมากที่สุด ,เงินที่ใช้ลงทุน ,ถามตอบ
การตรวจสอบข้อมูลในวิธีการทางประวัติศาสตร์ทำให้เกิดผลดีในข้อใด ,ได้ข้อมูลที่น่าเชื่อถือถูกต้อง ,ถามตอบ
ข้อใดเป็นการนับวันทางจันทรคติ ,วันแรม ,ถามตอบ
ช่วงเวลาที่ยังไม่มาถึงเรียกว่าอะไร ,อนาคต ,ถามตอบ
พระมหากษัตริย์ทรงใช้อำนาจบริหารผ่านทางได้ ,คณะรัฐมนตรี ,ถามตอบ
การละเล่นได้ที่เกิดจากอาชีพทำนา ,เต้นกำรำเคียว ,ถามตอบ
ข้อใดเป็นหน้าที่ของนักเรียนที่มีต่อโรงเรียน ,ปฏิบัติตามระเบียบของโรงเรียนอย่างเคร่งครัด ,ถามตอบ
กฎหมายรัฐธรรมนูญมีความสัมพันธ์กับคนไทยอย่างไร ,เป็นกฎหมายสูงสุดที่ใช้ในการปกครองประเทศ ,ถามตอบ
สิ่งใดหน่วยงานของรัฐใช้เป็นสิ่งที่แสดงความเป็นไทยที่เด่นชัดที่สุด ,ธงชาติไทย ,ถามตอบ
ผลของการนำหลักเศรษฐกิจพอเพียงมาใช้คือข้อใด ,ทำให้พึ่งตนเองได้ ,ถามตอบ
ศาสนาใดที่ไม่มีศาสดา  ,ศาสนาพราหมณ์ ,ถามตอบ
ตามข้อบัญญัติการอุปสมบทผู้บวชต้องมีคุณสมบัติต่อไปนี้ยกเว้นข้อใด ,ไม่มีโรคประจำตัว ,ถามตอบ
เจ้าชายสิทธัตถะค้นพบทางแห่งการดับทุกข์โดยวิธีใด ,บำเพ็ญเพียงทางจิต ,ถามตอบ
วัฒนธรรมในการแสดงความเคารพต่อพระมหากษัตริย์ผู้หญิงควรปฏิบัติอย่างไร ,ถอนสายบัว ,ถามตอบ
เมื่อทำสิ่งไม่ดีต่อเพื่อนเราควรแก้ไขอย่างไร ,ขอโทษเพื่อนและตั้งใจว่าจะไม่ทำอีก ,ถามตอบ
บุคคลที่เราควรแสดงความกตัญญูกตเวทีเป็นอันดับแรกคือใคร ,พ่อแม่ ,ถามตอบ
มาตราส่วนที่นิยมใช้เขียนแผนผังมีหน่วยตามข้อใด ,เซนติเมตร ,ถามตอบ
สิ่งใดที่ต้องใช้เขียนแทนด้วยแผนผัง ,สถานที่ต่างๆในห้างสรรพสินค้า ,ถามตอบ
ในปัจจุบันเราต้องเรียนภาษาอังกฤษเพราะอะไร ,เพื่อใช้ติดต่อสื่อสารชาวต่างประเทศ ,ถามตอบ
การกระทำในข้อใดที่ผิดหลักคำสอนของศาสนา ,ไม่พูดจริง ,ถามตอบ
ตามปฏิบัติตามหลักธรรมทางศาสนาจะทำให้ผู้ปฏิบัติได้รับผลในข้อใด ,ประสบความสุขความเจริญ ,ถามตอบ
เราร้องเพลงชาติว่าจุดประสงค์ใด ,เพื่อให้เกิดความรักชาติ ,ถามตอบ
เราควรปฏิบัติตนอย่างไรจึงจะเข้าใจเรื่องราวของพระพุทธศาสนาได้ถูกต้อง ,ศึกษาพุทธประวัติ ,ถามตอบ
การแก้ปัญหาเรื่องค่าใช้จ่ายภายในครอบครัวควรทำอย่างไร ,ทุกคนใช้จ่ายอย่างประหยัด ,ถามตอบ
ถ้าสมาชิกในครอบครัวปฏิบัติงาน ตามหน้าที่ของตนเองครอบครัวจะเป็นอย่างไร ,มีความสงบสุข ,ถามตอบ
ครอบครัวในภาวะปัจจุบันควรมีบุตรกี่คนจึงจะเหมาะสม ,2 คน ,ถามตอบ
นักเรียนจะช่วยลดค่าใช้จ่ายในครอบครัวได้อย่างไร ,ใช้จ่ายในสิ่งที่จำเป็น ,ถามตอบ
ข้อใดเป็นสาเหตุ หนึ่ง ที่ทำให้กรุงเทพทรุดตัวลงเรื่อยๆ ,นำน้ำใต้ดินมาใช้มาก ,ถามตอบ
พุทธศาสนิกชนควรมีหลักปฏิบัติในข้อใดเป็นพื้นฐานในการดำรงชีวิต ,ศีล5,ถามตอบ
การนับถือศาสนาที่ถูกต้องควรปฏิบัติอย่างไร ,นับถือตามความศรัทธาของตนเอง ,ถามตอบ
เมื่อมีผู้กล่าวดูหมิ่นศาสนาที่เรานับถือเราควรจะทำอย่างไร ,ชี้แจงอธิบายให้เข้าใจถูกต้อง ,ถามตอบ
ถ้าทุกคนปฏิบัติตามคำสอนของศาสนาผลจะเป็นอย่างไร ,มีความสงบสุข ,ถามตอบ
การที่คนไทยสามารถเลือกนับถือศาสนาเองได้เกี่ยวข้องกับข้อใด ,สิทธิ ,ถามตอบ
การทำงานร่วมกันต้องยึดหลักในข้อใดมากที่สุด ,ช่วยกันทำงานโดยไม่เกี่ยงงาน ,ถามตอบ
เวลาเดินผ่านผู้ใหญ่เราควรปฏิบัติอย่างไร ,เดินก้มหลังเล็กน้อย ,ถามตอบ
การปฏิบัติตามหลักธรรมทางศาสนาจะส่งผลดีต่อใครมากที่สุด ,ต่อผู้ปฏิบัติเอง ,ถามตอบ
การย้ายที่อยู่ถ้าไม่ไปแจ้งย้ายสำมะโนครัวจะเกิดผลเสียอย่างไร ,ไม่ได้รับสิทธิที่ควรจะได้ ,ถามตอบ
ขณะที่พ่อแม่ทำงานบ้านเราควรทำอะไร,ช่วยทำงานบ้าน ,ถามตอบ
วิธีการสงวนและรักษาแหล่งน้ำที่ดีที่สุดควรปฏิบัติตามข้อใด ,ดูแลรักษาป่าไม้ ,ถามตอบ
การลักลอบตัดไม้ทำลายป่าทำให้เกิดผลเสียในข้อใดมากที่สุด ,ทำให้เกิดน้ำท่วม ,ถามตอบ
การทำงานร่วมกันของสมาชิกในครอบครัวมีผลดีอย่างไร ,งานสำเร็จโดยรวดเร็ว ,ถามตอบ
ปัญหาการอพยพประชากรจากชนบทมาสู่เมืองหลวงมีสาเหตุมาจากอะไร ,ต้องการมาหางานทำ ,ถามตอบ
